"word","freq"
"11 30 a m",32
"a few days ago",32
"all over the world",32
"as a way to",32
"at the age of",32
"but at the same",32
"for more than a",32
"going to have a",32
"had a chance to",32
"has nothing to do",32
"hundreds of thousands of",32
"i didn't want to",32
"i hope you have",32
"i want you to",32
"in the next few",32
"my husband and i",32
"nice to meet you",32
"not being able to",32
"of some of the",32
"out to be a",32
"rest of the day",32
"thanks for all the",32
"to check out the",32
"was a lot of",32
"you please follow me",32
"a whole lot of",31
"be able to do",31
"do i have to",31
"end of the month",31
"have been able to",31
"have the right to",31
"have to be a",31
"i don't have to",31
"i don’t know if",31
"i have to go",31
"i love you too",31
"i was a little",31
"in the right direction",31
"not a fan of",31
"one of my favorites",31
"thank you very much",31
"to figure out how",31
"to say that i",31
"to say the least",31
"to the point of",31
"told the associated press",31
"was one of those",31
"we look forward to",31
"x x x x",31
"a little bit more",30
"a result of the",30
"and i have a",30
"and i have been",30
"are some of the",30
"don't know how to",30
"fell in love with",30
"go back to the",30
"going to be able",30
"have a chance to",30
"i can tell you",30
"i have to be",30
"i just need to",30
"i know i know",30
"i think this is",30
"it comes to the",30
"it is hard to",30
"one of the reasons",30
"other side of the",30
"out of the way",30
"seems to be a",30
"so i decided to",30
"so that i can",30
"tens of thousands of",30
"thanks for following me",30
"the next few days",30
"there's a lot of",30
"there are plenty of",30
"this is my first",30
"those of us who",30
"we were able to",30
"what was going on",30
"will be at the",30
"would have to be",30
"you know what i",30
"8 30 p m",29
"a huge fan of",29
"and i want to",29
"for as long as",29
"going to be in",29
"have no idea what",29
"have to worry about",29
"i am not sure",29
"i am so excited",29
"i think it is",29
"i went to the",29
"in the long run",29
"is expected to be",29
"is supposed to be",29
"just a little bit",29
"me know if you",29
"not to mention the",29
"of the fact that",29
"on the side of",29
"over the past few",29
"thank you for all",29
"thank you to all",29
"that it was a",29
"that it would be",29
"the most important thing",29
"the only thing i",29
"the power of the",29
"they are going to",29
"think i'm going to",29
"to be a great",29
"to the point where",29
"used to be a",29
"a long time ago",28
"a picture of the",28
"at the very least",28
"do not want to",28
"feel the need to",28
"for most of the",28
"for the kind words",28
"get a lot of",28
"i think it was",28
"i wanted to be",28
"if i had a",28
"if you have to",28
"in the hands of",28
"is one of those",28
"let us know if",28
"make it to the",28
"no such thing as",28
"on the verge of",28
"something to do with",28
"stuck in my head",28
"thanks to everyone who",28
"the history of the",28
"the size of the",28
"the u s department",28
"the u s government",28
"the vast majority of",28
"to deal with the",28
"to figure out what",28
"to keep up with",28
"to look at the",28
"to one of the",28
"up and down the",28
"with the rest of",28
"would you like to",28
"you for the follow",28
"at 10 a m",27
"day to all the",27
"for all of us",27
"have a hard time",27
"i'm going to have",27
"i am not a",27
"i just have to",27
"i want to know",27
"i will have to",27
"if you are interested",27
"in a couple of",27
"it is time to",27
"it was a very",27
"it was going to",27
"just in time for",27
"martin luther king jr",27
"of the things i",27
"player of the year",27
"some of the most",27
"thanks for following us",27
"thanks for the support",27
"the edge of the",27
"the face of the",27
"there is so much",27
"this is what i",27
"this is why i",27
"this will be the",27
"to be in a",27
"we were going to",27
"10 a m to",26
"a lot of money",26
"all the time and",26
"all you have to",26
"at the heart of",26
"believe it or not",26
"can't wait to hear",26
"come out of the",26
"fall in love with",26
"for all of the",26
"going to try to",26
"happy birthday to my",26
"i don't even know",26
"i don't think so",26
"i have a lot",26
"i think i have",26
"i used to be",26
"i want to get",26
"if you are not",26
"in love with the",26
"in terms of the",26
"in the heart of",26
"in the near future",26
"is a good thing",26
"just let me know",26
"let me know when",26
"let me tell you",26
"now i have to",26
"on a regular basis",26
"on the back of",26
"rest of the world",26
"that i have a",26
"that there is a",26
"that would be a",26
"the course of the",26
"there are lots of",26
"to 5 p m",26
"to be honest i",26
"to the united states",26
"want it to be",26
"what it takes to",26
"where have you been",26
"with some of the",26
"with the exception of",26
"you can do it",26
"you for the rt",26
"a big fan of",25
"a big part of",25
"a copy of the",25
"a lot of them",25
"all over the place",25
"and i will be",25
"and out of the",25
"are more likely to",25
"are one of the",25
"as a matter of",25
"as long as they",25
"as much as possible",25
"at the expense of",25
"but i think i",25
"despite the fact that",25
"for some reason i",25
"had a great day",25
"have no idea how",25
"here are a few",25
"i'll let you know",25
"i am so happy",25
"i had a dream",25
"i think i will",25
"i think it would",25
"in the second round",25
"in the world and",25
"just around the corner",25
"me know what you",25
"might be able to",25
"not the only one",25
"on a daily basis",25
"one of the great",25
"one of the greatest",25
"open to the public",25
"please follow me i",25
"please let me know",25
"thank you for following",25
"thanks for the love",25
"that the u s",25
"the last few years",25
"this is not the",25
"to 4 p m",25
"to learn how to",25
"to see if i",25
"two and a half",25
"what you want to",25
"will be held at",25
"would be able to",25
"you can make it",25
"a friend of mine",24
"and thank you for",24
"declined to comment on",24
"for a chance to",24
"for a few minutes",24
"for more information call",24
"for the follow i",24
"get a chance to",24
"had a good time",24
"have been trying to",24
"have to deal with",24
"how are you doing",24
"i had a great",24
"i had to do",24
"i have to do",24
"i think i am",24
"i think i might",24
"if there is a",24
"in a news release",24
"in connection with the",24
"in the living room",24
"in the third quarter",24
"it needs to be",24
"it was great to",24
"no one wants to",24
"of the university of",24
"on the east coast",24
"over the past year",24
"so much to do",24
"so proud of you",24
"that there is no",24
"the best part of",24
"the fact that they",24
"the good news is",24
"the hands of the",24
"the last couple of",24
"the last two years",24
"the past few years",24
"the quality of the",24
"the u s and",24
"this is a great",24
"time for me to",24
"to do the same",24
"to pick up the",24
"to see you there",24
"we had a great",24
"we have a lot",24
"we need to be",24
"when i went to",24
"wish i could have",24
"with a bit of",24
"year and a half",24
"you have a good",24
"30 a m to",23
"a little more than",23
"a wide range of",23
"am i the only",23
"and i had a",23
"and i love it",23
"and the u s",23
"both sides of the",23
"but i have to",23
"but you have to",23
"by the u s",23
"chance to win a",23
"don't have to be",23
"going to get a",23
"had so much fun",23
"have a wonderful day",23
"i feel like a",23
"i have a few",23
"i have ever seen",23
"i need to go",23
"i really need to",23
"i want to make",23
"in a variety of",23
"in the mood for",23
"in the st louis",23
"it is going to",23
"look forward to seeing",23
"make the most of",23
"north dakota township map",23
"on the edge of",23
"on to the next",23
"one of the top",23
"out of the house",23
"some of my favorite",23
"spend a lot of",23
"that i want to",23
