"word","freq"
"history",1003
"green",1000
"reading",1000
"given",996
"wrong",996
"art",994
"beer",994
"living",991
"light",989
"feeling",984
"easy",979
"knew",979
"perfect",978
"six",977
"san",976
"woman",976
"goes",973
"tuesday",971
"especially",969
"thursday",969
"south",968
"needed",964
"members",963
"points",958
"matter",957
"system",957
"fall",955
"played",951
"video",951
"media",950
"across",945
"wasn't",945
"sweet",940
"meeting",939
"third",939
"bill",938
"officials",937
"building",935
"film",935
"north",933
"rather",929
"girls",928
"child",927
"coach",927
"2012",926
"death",926
"chance",924
"market",923
"among",921
"guess",920
"won't",919
"eat",911
"hour",911
"wednesday",910
"felt",909
"pick",906
"added",905
"parents",905
"wants",905
"write",904
"moment",902
"town",901
"let's",898
"tried",896
"available",893
"fans",893
"decided",890
"large",889
"mother",887
"welcome",887
"won",887
"body",886
"lead",886
"march",886
"taken",886
"final",884
"works",884
"shot",883
"short",882
"states",882
"players",881
"spring",880
"report",879
"cause",876
"federal",876
"starting",876
"glad",874
"gone",873
"front",871
"store",871
"obama",866
"online",862
"within",861
"spent",859
"although",857
"boy",855
"drive",854
"learn",853
"walk",850
"happen",849
"break",848
"yourself",844
"near",842
"single",842
"sounds",842
"dinner",840
"email",838
"director",836
"department",834
"possible",832
"space",830
"card",827
"strong",825
"district",824
"lives",824
"known",822
"visit",821
"sense",818
"crazy",813
"process",813
"tax",811
"major",810
"schools",810
"turned",807
"field",806
"understand",806
"2011",804
"loved",803
"paper",803
"looked",802
"2010",799
"send",798
"record",795
"hair",794
"himself",794
"church",792
"clear",791
"didn’t",790
"takes",788
"eyes",787
"general",787
"plans",787
"happened",786
"fire",782
"i’ve",782
"held",781
"wife",780
"west",779
"wow",779
"huge",778
"wonderful",778
"funny",777
"inside",776
"jobs",776
"giving",775
"control",774
"rock",774
"bed",773
"definitely",773
"interesting",773
"www",773
"that’s",772
"worth",772
"picture",770
"son",770
"level",769
"create",768
"yesterday",768
"nearly",767
"human",766
"site",764
"questions",760
"seeing",760
"worked",756
"longer",755
"she's",753
"ohio",751
"trip",751
"political",750
"services",747
"shows",747
"recently",745
"facebook",744
"super",744
"likely",742
"per",742
"met",740
"issue",739
"recent",739
"based",738
"haven't",738
"ones",738
"began",737
"hold",736
"fan",735
"campaign",733
"conference",733
"dont",733
"waiting",733
"race",732
"christmas",730
"finished",729
"goal",727
"stand",727
"education",726
"join",721
"wanna",721
"age",720
"continue",720
"club",719
"air",718
"bar",718
"america",717
"war",717
"washington",715
"act",711
"energy",708
"personal",708
"vote",707
"lots",706
"ball",704
"dog",704
"offer",703
"wine",702
"include",700
"blue",699
"companies",699
"became",697
"father",697
"fine",697
"middle",696
"cold",695
"lunch",695
"usually",695
"challenge",693
"return",693
"cleveland",692
"decision",692
"voice",692
"brought",689
"simply",689
"sound",689
"jersey",688
"weather",687
"brown",684
"sign",684
"cost",680
"couldn't",680
"cover",679
"seem",678
"answer",676
"hands",676
"page",673
"coffee",672
"research",671
"wonder",671
"door",670
"success",670
"okay",669
"boys",665
"issues",665
"above",664
"we'll",664
"knows",663
"career",662
"chicago",661
"problems",661
"earlier",658
"perhaps",658
"player",657
"seriously",657
"sent",656
"beat",655
"died",655
"gotta",655
"website",655
"expected",654
"price",654
"whose",654
"cannot",652
"pass",652
"moving",650
"dead",649
"attention",647
"budget",646
"david",645
"fuck",645
"ways",644
"band",641
"drink",641
"afternoon",640
"low",640
"step",640
"east",638
"events",638
"forget",638
"medical",638
"alone",636
"entire",634
"staff",633
"california",631
"followers",631
"luck",631
"sales",629
"details",628
"sad",627
"you'll",626
"spend",625
"cup",624
"due",623
"missed",622
"themselves",619
"round",618
"simple",618
"wrote",617
"feet",615
"mark",614
"practice",613
"dream",612
"study",612
"date",609
"safe",609
"current",608
"save",608
"billion",607
"main",607
"chicken",606
"100",605
"design",604
"exactly",604
"learned",603
"oil",603
"stories",603
"provide",601
"certain",600
"dance",600
"fight",600
"hospital",600
"teams",600
"training",599
"dark",597
"husband",597
"form",595
"jesus",595
"louis",595
"moved",595
"star",595
"heat",593
"piece",593
"table",593
"wouldn't",593
"whatever",592
"june",591
"choice",590
"position",590
"press",590
"role",590
"football",587
"student",587
"totally",587
"judge",586
"opportunity",586
"received",586
"tickets",586
"ideas",584
"key",584
"paid",584
"quickly",584
"opening",582
"congrats",580
"followed",580
"action",579
"focus",579
"can’t",578
"cute",578
"despite",578
"sun",578
"united",577
"beach",576
"ground",576
"busy",575
"example",575
"michael",575
"we've",573
"written",572
"test",571
"color",570
"extra",570
"bought",569
"lose",569
"council",568
"kid",568
"rain",568
"release",568
"brother",567
"financial",567
"fresh",567
"listen",567
"message",567
"chief",565
"interest",565
"itself",565
"finish",564
"pictures",564
"2009",563
"industry",563
"interested",563
"involved",563
"sick",563
"daily",562
"comment",561
"daughter",561
"style",561
"sit",560
"2008",559
"begin",559
"seven",559
"hall",558
"mine",558
"sports",558
"view",558
"created",557
"paul",557
"upon",555
"completely",554
"evening",554
"track",553
"bank",549
"member",549
"complete",547
"allow",542
"loss",542
"bowl",541
"international",541
"period",541
"proud",541
"rate",539
"agree",537
"ice",537
"gives",536
"league",536
"sitting",536
"credit",535
"eating",535
"further",535
"photo",535
"fast",534
"straight",534
"development",533
"anyway",532
"library",532
"spending",532
"text",532
"led",531
"relationship",531
"truth",531
"type",530
"released",529
"total",529
"difficult",528
"james",528
"wear",528
"aren't",527
"force",527
"listening",527
"private",527
"tired",527
"allowed",526
"amount",526
"dad",526
"learning",526
"economy",525
"note",525
"helped",524
"property",523
"data",522
"internet",522
"statement",522
"feels",521
"happens",521
"kept",520
"speak",520
"walking",520
"etc",519
"serious",519
"performance",518
"tweets",518
"restaurant",517
"smith",517
"account",516
"interview",516
"rights",516
"box",515
"changed",515
"changes",515
"land",515
"chris",513
"deep",513
"result",513
"stage",513
"“i",512
"album",512
"character",512
"chocolate",512
"figure",512
"enjoyed",511
"plus",511
"wall",511
"expect",510
"quality",510
"runs",510
"cheese",509
"defense",509
"hurt",509
"manager",508
"places",508
"common",507
"you've",507
"hotel",506
"biggest",505
"driving",505
"starts",505
"leaving",503
"cake",502
"certainly",500
"gift",500
"killed",500
"original",500
"spot",500
"executive",499
"quick",499
"born",498
"passed",496
"planning",496
"beyond",495
"calls",495
"mike",495
"miles",495
"portland",495
"higher",494
"tour",494
"beginning",493
"cream",493
"below",492
"catch",492
"grow",492
"mix",492
"version",492
"eye",491
"sort",491
"lord",490
"sale",490
"security",490
"situation",490
"contact",489
"fair",489
"seemed",489
"workers",489
"peace",488
"economic",487
"block",486
"ahead",484
"fear",484
"lovely",484
"rules",484
"similar",484
"you’re",484
"consider",483
"effort",483
"fell",483
"river",483
"blood",482
"doesn’t",482
"truly",482
"“the",481
"reported",481
"winter",481
"photos",480
"tough",480
"ended",479
"july",479
"pain",479
"union",479
"floor",478
"article",477
"growing",477
"employees",476
"results",476
"sister",476
"average",475
"choose",475
"costs",475
"increase",475
"eight",474
"mention",474
"sugar",474
"computer",473
"oregon",473
"taste",473
"title",473
"absolutely",471
"attorney",471
"closed",471
"everybody",471
"republican",471
"songs",471
"garden",470
"named",469
"thoughts",469
"hearing",468
"scene",468
"committee",467
"central",466
"clean",466
"sat",464
"supposed",464
"via",463
"king",462
"natural",462
"putting",462
"warm",462
"folks",461
"difference",460
"potential",460
"senior",460
"teacher",460
"winning",460
"trust",459
"die",458
"dude",458
"quarter",458
"shop",458
"wearing",458
"asking",457
"includes",457
"annual",456
"groups",456
"poor",456
"regular",456
"telling",456
"fit",455
"worst",455
"meant",454
"lady",453
"present",453
"radio",453
"society",452
"kitchen",451
"cant",450
"ran",450
"safety",450
"touch",450
"travel",450
"smile",449
"currently",448
"loves",446
"product",446
"review",446
"size",446
"prices",445
"realize",445
"science",445
"rose",444
"families",443
"hoping",443
"value",443
"lack",442
"link",442
"projects",442
"reach",442
"gas",441
"hopefully",441
"minute",441
"residents",440
"bottom",439
"reality",439
"sell",439
"address",438
"latest",437
"products",437
"ride",437
"sold",437
"included",436
"legal",436
"officer",436
"positive",436
"agreed",435
"holiday",434
"lake",434
"throughout",434
"earth",433
"mostly",432
"walked",432
"apparently",431
"build",431
"caught",431
"joe",431
"stopped",431
"immediately",430
"overall",430
"access",429
"cards",429
"marriage",429
"onto",429
"previous",429
"search",429
"tea",429
"double",428
"showed",428
"except",427
"growth",427
"serve",427
"shooting",427
"500",426
"baseball",426
"calling",426
"forever",425
"technology",425
"lived",424
"anymore",423
"healthy",423
"mad",423
"base",422
"worse",422
"glass",421
"numbers",421
"opened",421
"lines",420
"announced",419
"image",419
"los",419
"built",418
"french",418
"hello",417
"stupid",417
"characters",416
"florida",416
"lucky",416
"programs",416
"popular",413
"session",413
"bay",412
"missing",412
"downtown",411
"imagine",411
"served",411
"texas",411
"fish",410
"kill",410
"trade",410
"fat",409
"marketing",409
"author",408
"creative",408
"crowd",408
"grand",408
"he’s",408
"hill",408
"agency",407
"english",407
"shopping",407
"letter",406
"romney",406
"dear",405
"policy",405
"weird",405
"cook",404
"particular",404
"station",404
"ability",403
"customers",403
"official",403
"winner",403
"january",402
"picked",402
"cases",401
"fourth",401
"helping",400
"toward",400
"appreciate",399
"ill",399
"lower",399
"draft",398
"stock",398
"pieces",397
"unless",397
"breakfast",396
"movies",396
"addition",395
"justice",395
"leaders",395
"receive",395
"till",395
"bro",394
"evidence",394
"goals",394
"items",394
"mayor",394
"keeping",393
"leader",393
"liked",393
"none",393
"terms",393
"wasn’t",393
"google",392
"records",392
"worry",391
"cancer",390
"finding",390
"nature",390
"orange",390
"older",389
"posted",389
"watched",389
"weight",389
"1st",388
"austin",388
"charge",388
"effect",388
"holding",388
"homes",388
"raised",388
"throw",388
"tree",388
"leading",387
"teachers",387
"dreams",386
"faith",386
"parts",386
"slow",386
"february",385
"george",385
"train",385
"modern",384
"particularly",384
"bag",383
"bus",383
"there’s",383
"basketball",382
"who's",382
"drop",381
"language",381
"nfl",381
"reasons",381
"response",381
"normal",380
"term",379
"museum",378
"realized",378
"recipe",378
"rich",378
"snow",378
"eventually",377
"married",377
"match",377
"secret",377
"wedding",377
"gay",376
"insurance",376
"officers",376
"roll",375
"signed",375
"military",374
"production",374
"considered",373
"info",373
"attack",372
"cars",372
"comments",372
"shoes",372
"adding",371
"leaves",370
"loving",370
"required",370
"traffic",370
"audience",369
"conversation",369
"soul",369
"victory",369
"wild",369
"butter",368
"filled",368
"various",368
"wake",368
"classes",367
"clearly",367
"culture",367
"raise",367
"thats",367
"apple",366
"speaking",366
"valley",366
"angeles",365
"collection",365
"network",365
"remain",365
"sharing",365
"contract",364
"decide",363
"easily",363
"model",363
"successful",363
"reports",362
"trouble",362
"areas",361
"brain",361
"corner",361
"pop",361
"showing",361
"bout",360
"failed",360
"dress",359
"exciting",359
"headed",359
"heading",359
"square",359
"concert",358
"drinking",358
"november",358
"content",357
"doubt",357
"election",357
"island",357
"omg",357
"owner",357
"…",356
"benefits",356
"gold",356
"camera",355
"count",355
"nine",355
"cash",354
"london",354
"notes",354
"score",354
"twice",354
"sauce",353
"scott",353
"helps",352
"management",352
"neighborhood",352
"obviously",352
"pulled",352
"stuck",352
"surprise",352
"talked",352
"episode",351
"plays",351
"professional",351
"approach",350
"arrived",350
"arts",350
"thinks",350
"broken",349
"camp",349
"dry",349
"organization",349
"studio",349
"laugh",348
"remains",348
"respect",348
"ryan",348
"web",348
"charges",347
"drug",347
"fashion",347
"hits",347
"pink",347
"robert",347
"spirit",347
"association",345
"attempt",345
"hahaha",345
"here's",345
"isn’t",345
"salt",345
"shots",345
"skills",345
"somewhere",345
"broke",344
"construction",344
"names",344
"offered",344
"pull",344
"losing",343
"novel",343
"battle",342
"investigation",342
"lets",342
"plenty",342
"2007",341
"indeed",341
"senate",341
"subject",341
"bet",340
"closer",340
"doctor",340
"planned",340
"reached",340
"johnson",339
"ten",339
"pizza",338
"screen",338
"smart",338
"benefit",337
"writer",337
"firm",336
"hang",336
"brand",335
"festival",335
"knowledge",335
"milk",335
"risk",335
"wide",335
"francisco",334
"nobody",334
"plant",334
"rule",334
"taxes",334
"tom",334
"whom",334
"schedule",333
"selling",333
"administration",332
"fantastic",332
"impact",332
"shoot",332
"tells",332
"continued",331
"december",330
"scored",330
"standing",330
"americans",329
"award",329
"classic",329
"commercial",329
"enjoying",329
"miami",329
"returned",329
"advice",328
"code",328
"easier",328
"global",328
"i’d",328
"spread",328
"thomas",328
"businesses",327
"offers",327
"1/2",326
"stars",326
"voters",326
"window",326
"avenue",325
"beauty",325
"income",325
"pressure",325
"sea",325
"teaching",325
"baltimore",324
"bread",324
"paying",324
"seconds",324
"competition",323
"digital",323
"williams",323
"forced",322
"heavy",322
"individual",322
"knowing",322
"pair",322
"ugh",322
"year's",322
"charged",321
"debt",321
"happening",321
"magic",321
"nation",321
"necessary",321
"dollars",320
"jones",320
"joy",320
"related",320
"carry",319
"creating",319
"detroit",319
"notice",319
"traditional",319
"yea",319
"artist",318
"cross",318
"excellent",318
"steve",318
"app",317
"boston",317
"likes",317
"opinion",317
"theme",317
"everyday",316
"feature",316
"flight",316
"bigger",314
"clothes",314
"limited",314
"published",314
"range",314
"arizona",313
"fill",313
"i’ll",313
"section",313
"century",312
"crime",312
"direction",312
"options",312
"china",311
"coast",311
"continues",311
"efforts",311
"holy",311
"push",311
"shall",311
"speed",311
"path",310
"rates",310
"somebody",310
"towards",310
"willing",310
"british",309
"chinese",309
"cry",309
"fund",309
"grew",309
"guard",309
"kick",309
"singing",309
"slightly",309
"stadium",309
"turns",309
"unfortunately",309
"yay",309
"additional",308
"avoid",308
"cat",308
"covered",308
"ends",308
"fly",308
"spokesman",308
"trial",308
"commission",307
"self",307
"shut",307
"surprised",307
"wind",307
"celebrate",306
"setting",306
"arrested",305
"cuts",305
"delicious",305
"nor",305
"cooking",304
"inspired",304
"nba",304
"physical",304
"seat",304
"serving",304
"famous",303
"features",303
"mouth",303
"pages",303
"parking",303
"talent",303
"republicans",302
"shout",302
"moments",301
"september",301
"we’re",301
"artists",300
"dropped",300
"fellow",300
"provided",300
"skin",300
"stores",300
"yards",300
"offering",299
"authorities",298
"cast",298
"ladies",298
"mentioned",298
"alive",297
"august",297
"claim",297
"dogs",297
"host",297
"ourselves",297
"prepared",297
"strength",297
"teach",297
"tip",297
"airport",296
"decisions",296
"draw",296
"female",296
"golden",296
"buying",295
"campus",295
"forgot",295
"sites",295
"democratic",294
"appear",293
"justin",293
"killing",293
"matt",293
"readers",293
"ticket",293
"today's",293
"200",292
"bob",292
"congress",292
"journey",292
"majority",292
"bridge",291
"enter",291
"literally",291
"possibly",291
"primary",291
"purchase",291
"apart",290
"fully",290
"jim",290
"october",290
"random",290
"stick",290
"western",290
"wins",290
"appeared",289
"balance",289
"crew",289
"denver",289
"easter",289
"martin",289
"progress",289
"christian",288
"noticed",288
"prison",288
"thousands",288
"craft",287
"keeps",287
"multiple",287
"scheduled",287
"unique",287
"cuz",286
"discussion",286
"fruit",286
"grade",286
"posts",286
"source",286
"treatment",286
"aside",285
"brings",285
"gov",285
"greatest",285
"gym",285
"joined",285
"magazine",285
"basically",284
"compared",284
"designed",284
"flowers",284
"freedom",284
"largest",284
"memory",284
"protect",284
"afraid",283
"becomes",283
"capital",283
"meaning",283
"promise",283
"request",283
"becoming",282
"degree",282
"rice",282
"surgery",282
"2006",281
"changing",281
"charles",281
"christ",281
"discovered",281
"division",281
"faces",281
"honor",281
"jack",281
"leadership",281
"levels",281
"kinda",280
"specific",280
"ain't",279
"bringing",279
"offense",279
"quiet",279
"bright",278
"cities",278
"significant",278
"status",278
"$10",277
"herself",277
"spoke",277
"sucks",277
"update",277
"advantage",276
"guilty",276
"lately",276
"meat",276
"missouri",276
"mountain",276
"standard",276
"younger",276
"complex",275
"fix",275
"greater",275
"highly",275
"inc",275
"iphone",275
"powerful",275
"treat",275
"usual",275
"vehicle",275
"bunch",274
"filed",274
"handle",274
"hasn't",274
"laws",274
"acting",273
"activities",273
"resources",273
"signs",273
"tiny",273
"won’t",273
"begins",272
"brothers",272
"explain",272
"labor",272
"michigan",272
"otherwise",272
"remove",272
"tim",272
"uses",272
"candidates",271
"civil",271
"patients",271
"proposed",271
"television",271
"trees",271
"2nd",270
"bottle",270
"demand",270
"hanging",270
"hopes",270
"location",270
"purpose",270
"sing",270
"actions",269
"contest",269
"funding",269
"improve",269
"jump",269
"menu",269
"officially",269
"shirt",269
"christie",268
"exercise",268
"movement",268
"soft",268
"variety",268
"accept",267
"activity",267
"agent",267
"amazon",267
"army",267
"gotten",267
"governor",267
"mission",267
"owners",267
"panel",267
"population",267
"rise",267
"tournament",267
"yours",267
"birth",266
"copy",266
"mary",266
"material",266
"nights",266
"agreement",265
"feed",265
"managed",265
"mothers",265
"pool",265
"thus",265
"understanding",265
"authority",264
"foot",264
"guest",264
"honest",264
"kevin",264
"larger",264
"slowly",264
"lie",263
"ppl",263
"region",263
"steps",263
"background",262
"injury",262
"machine",262
"parties",262
"southern",262
"they’re",262
"extremely",261
"fighting",261
"plate",261
"produce",261
"rep",261
"shared",261
"speech",261
"streets",261
"turning",261
"claims",260
"murder",260
"playoffs",260
"presence",260
"seasons",260
"solid",260
"target",260
"van",260
"championship",259
"expensive",259
"falling",259
"films",259
"gorgeous",259
"houston",259
"legs",259
"row",259
"vegas",259
"wood",259
"animal",258
"environment",258
"gun",258
"housing",258
"placed",258
"youth",258
"basic",257
"crisis",257
"foreign",257
"images",257
"net",257
"sides",257
"studies",257
"thx",257
"tips",257
"caused",256
"concerned",256
"considering",256
"damn",256
"richard",256
"seattle",256
"beers",255
"frank",255
"giant",255
"investment",255
"kansas",255
"nyc",255
"#ff",254
"chose",254
"degrees",254
"paint",254
"politics",254
"tho",254
"democrats",253
"emergency",253
"foundation",253
"inspiration",253
"strange",253
"assistant",252
"bike",252
"bored",252
"focused",252
"independent",252
"candidate",251
"described",251
"jackson",251
"noted",251
"santa",251
"taught",251
"wit",251
"defensive",250
"junior",250
"mobile",250
"ordered",250
"sky",250
"theater",250
"wondering",250
"arms",249
"damage",249
"decades",249
"develop",249
"earned",249
"estate",249
"gain",249
"grown",249
"honestly",249
"you'd",249
"checking",248
"diego",248
"fabulous",248
"familiar",248
"meal",248
"ring",248
