"word","freq"
"and i love",119
"just have to",119
"out to be",119
"to work with",119
"for a new",118
"hope to see",118
"is the most",118
"on my way",118
"out of a",118
"the people who",118
"this is my",118
"you can get",118
"a list of",117
"around the world",117
"for you to",117
"in the area",117
"some of my",117
"that you can",117
"the time of",117
"thought it was",117
"a m to",116
"and a half",116
"director of the",116
"i love that",116
"the cost of",116
"they want to",116
"to work on",116
"a few of",115
"have no idea",115
"is that the",115
"that this is",115
"the use of",115
"to be an",115
"we're going to",115
"with all the",115
"a few weeks",114
"but i am",114
"first time in",114
"have to get",114
"have to go",114
"i would be",114
"in a statement",114
"that i had",114
"the amount of",114
"the same way",114
"was a great",114
"a matter of",113
"at the top",113
"i wonder if",113
"in the state",113
"or at least",113
"that they are",113
"the most important",113
"to get my",113
"want to get",113
"would have to",113
"you don't have",113
"a great weekend",112
"a year ago",112
"do you know",112
"had to be",112
"have to say",112
"i can get",112
"out of my",112
"seem to be",112
"that was the",112
"the last time",112
"the next day",112
"you can do",112
"bit of a",111
"i can do",111
"is such a",111
"may not be",111
"the ability to",111
"all of us",110
"and i don't",110
"down to the",110
"it was just",110
"take care of",110
"to be on",110
"to do the",110
"to get it",110
"to pay for",110
"well as the",110
"and have a",109
"in st louis",109
"over the last",109
"that is a",109
"the lack of",109
"there are no",109
"to do this",109
"to have to",109
"if i could",108
"that you are",108
"the other hand",108
"to all of",108
"to create a",108
"10 a m",107
"based on the",107
"being able to",107
"for more information",107
"for those who",107
"i had the",107
"in a row",107
"one of our",107
"to get out",107
"up on the",107
"what kind of",107
"bottom of the",106
"for the past",106
"get to the",106
"happy birthday to",106
"in the back",106
"sounds like a",106
"thank you to",106
"the best of",106
"the way i",106
"the white house",106
"to do something",106
"to pick up",106
"to tell you",106
"be on the",105
"but if you",105
"due to the",105
"i try to",105
"in the air",105
"in the country",105
"out on the",105
"the power of",105
"to come to",105
"as one of",104
"feel like i",104
"i don't like",104
"is the first",104
"it to be",104
"it was not",104
"of the week",104
"shout out to",104
"that there is",104
"that we have",104
"to do so",104
"a good time",103
"i'd like to",103
"i just want",103
"it should be",103
"so we can",103
"the time i",103
"to me and",103
"what is the",103
"you are not",103
"and all the",102
"and i had",102
"could have been",102
"i did not",102
"it was so",102
"on the floor",102
"that he had",102
"to have the",102
"to listen to",102
"to see a",102
"a picture of",101
"of the same",101
"this was a",101
"feel free to",100
"get back to",100
"in the way",100
"it's been a",100
"it as a",100
"it could be",100
"make sure you",100
"of the people",100
"one of his",100
"ready for the",100
"the other day",100
"time to get",100
"to see it",100
"to the point",100
"all of this",99
"he is a",99
"in the process",99
"it's hard to",99
"more of a",99
"of the way",99
"the other side",99
"up for the",99
"was on the",99
"will continue to",99
"a good thing",98
"and we are",98
"as it is",98
"at the moment",98
"can be a",98
"happy new year",98
"i can see",98
"if i had",98
"is a very",98
"people in the",98
"that i would",98
"the need to",98
"to the next",98
"to the top",98
"want to know",98
"a fan of",97
"a few more",97
"as you can",97
"i can't believe",97
"if you need",97
"over the next",97
"that will be",97
"the only way",97
"the story of",97
"to find the",97
"how much i",96
"i got to",96
"in the case",96
"one of these",96
"the federal government",96
"what it is",96
"will be in",96
"a lot to",95
"all of you",95
"didn't want to",95
"don't have a",95
"each of the",95
"i could have",95
"i think you",95
"in new jersey",95
"in the early",95
"the last two",95
"they are not",95
"are you going",94
"for the mention",94
"going to go",94
"i have the",94
"in the third",94
"it looks like",94
"my way to",94
"not to be",94
"out to the",94
"the history of",94
"the st louis",94
"the world is",94
"they have a",94
"to do is",94
"a sense of",93
"and one of",93
"be a great",93
"but i was",93
"don't know how",93
"for the new",93
"i get a",93
"in a way",93
"in the car",93
"that can be",93
"that he is",93
"wait for the",93
"when i get",93
"you going to",93
"7 p m",92
"a few minutes",92
"a handful of",92
"a look at",92
"a result of",92
"all of them",92
"and you can",92
"happy mothers day",92
"i was so",92
"just a few",92
"me and my",92
"me in the",92
"that we are",92
"was supposed to",92
"will be on",92
"and that is",91
"at least one",91
"forward to the",91
"i didn't know",91
"is trying to",91
"on the first",91
"that is not",91
"the age of",91
"the course of",91
"there are many",91
"to be more",91
"to check out",91
"and will be",90
"be the best",90
"i like it",90
"in los angeles",90
"in the new",90
"in this case",90
"me and i",90
"not to mention",90
"of the things",90
"on the same",90
"people who are",90
"so much fun",90
"so you can",90
"that there are",90
"the chance to",90
"the city of",90
"the face of",90
"this will be",90
"to go back",90
"to win the",90
"wanted to be",90
"which is a",90
"will be able",90
"will have a",90
"you had a",90
"able to get",89
"at some point",89
"be part of",89
"but in the",89
"don’t want to",89
"i was thinking",89
"if it was",89
"should have been",89
"the next few",89
"to meet you",89
"was a good",89
"working on a",89
"you and your",89
"11 a m",88
"all of our",88
"and there are",88
"do you want",88
"he wanted to",88
"in other words",88
"in san francisco",88
"is part of",88
"is there a",88
"it was an",88
"little bit of",88
"of the other",88
"the point of",88
"the size of",88
"was trying to",88
"we have been",88
"what i was",88
"you're going to",88
"at one point",87
"be one of",87
"get rid of",87
"happy mother's day",87
"if there is",87
"is a lot",87
"not want to",87
"now i have",87
"of the night",87
"should be a",87
"was a little",87
"were able to",87
"you know how",87
"8 p m",86
"and i know",86
"are trying to",86
"could be a",86
"had a good",86
"he has a",86
"hope you have",86
"i tried to",86
"need to do",86
"nothing to do",86
"of the house",86
"of the state",86
"the importance of",86
"to watch the",86
"way to go",86
"will be at",86
"you have any",86
"a good idea",85
"and his wife",85
"because it is",85
"for the most",85
"half of the",85
"he had a",85
"i am in",85
"i just got",85
"in the day",85
"it is to",85
"it would have",85
"of course the",85
"see you there",85
"what you think",85
"you are the",85
"you know the",85
"along with the",84
"are you doing",84
"back of the",84
"be the first",84
"but i know",84
"but there are",84
"even though i",84
"for the day",84
"have you been",84
"he did not",84
"i know it",84
"if i was",84
"in the game",84
"it on the",84
"just a little",84
"of the city",84
"really want to",84
"the death of",84
"the process of",84
"time in the",84
"way to get",84
"way to the",84
"welcome to the",84
"when you are",84
"and he was",83
"are so many",83
"but this is",83
"for some reason",83
"i had no",83
"it makes me",83
"just wanted to",83
"not sure if",83
"of course i",83
"parts of the",83
"ready to go",83
"right now i",83
"to me that",83
"want to make",83
"whether or not",83
"and i are",82
"and that the",82
"at least a",82
"back into the",82
"but there is",82
"for us to",82
"i guess i",82
"i think i'm",82
"in the meantime",82
"is a little",82
"is also a",82
"it's time to",82
"let you know",82
"the department of",82
"the majority of",82
"they have to",82
"think about it",82
"to be honest",82
"to have you",82
"we are not",82
"would not be",82
"can i get",81
"don't forget to",81
"he wants to",81
"i know you",81
"i love this",81
"i’m going to",81
"on how to",81
"the first half",81
"the heart of",81
"the last few",81
"the one who",81
"the past few",81
"the way you",81
"the world of",81
"those of you",81
"two of the",81
"up and down",81
"and there is",80
"at the university",80
"give me a",80
"great way to",80
"have to make",80
"in a while",80
"is that it",80
"known as the",80
"out of it",80
"that they were",80
"that you have",80
"the world and",80
"there are so",80
"to get in",80
"when you have",80
"where are you",80
"wish i was",80
"you in the",80
"a ton of",79
"for me i",79
"him in the",79
"i just saw",79
"i needed to",79
"know what you",79
"much for the",79
"on the ground",79
"over and over",79
"place in the",79
"the best way",79
"to come back",79
"to the new",79
"we can do",79
"who has been",79
"who you are",79
"and for the",78
"and i can",78
"and then i",78
"be at the",78
"do the same",78
"give you a",78
"he and his",78
"in which the",78
"is to be",78
"is what i",78
"not in the",78
"thanks for your",78
"that has been",78
"the value of",78
"this week i",78
"up at the",78
"up for a",78
"wish i had",78
"a few hours",77
"a few months",77
"and a few",77
"back on the",77
"come to the",77
"early in the",77
"in the fourth",77
"is all about",77
"much as i",77
"on behalf of",77
"president barack obama",77
"that kind of",77
"the type of",77
"there are some",77
"to get some",77
"what a great",77
"a trip to",76
"are a lot",76
"be a part",76
"going to take",76
"here are some",76
"i have not",76
"i should be",76
"if you do",76
"in one of",76
"may have been",76
"on the internet",76
"on to the",76
"the new jersey",76
"the result of",76
"the things that",76
"to get into",76
"we had to",76
"across the country",75
"addition to the",75
"along the way",75
"are a few",75
"getting ready for",75
"he is the",75
"he was the",75
"hope you are",75
"i will not",75
"if you like",75
"in the right",75
"it has to",75
"know what to",75
"need to know",75
"so much to",75
"that i will",75
"the center of",75
"the first place",75
"the second half",75
"the sound of",75
"this was the",75
"to be there",75
"to win a",75
"want you to",75
"what you want",75
"you can find",75
"you get a",75
"and they are",74
"at the beginning",74
"best way to",74
"better than the",74
"day of the",74
"few years ago",74
"for at least",74
"has not been",74
"i don’t think",74
"if i can",74
"if you were",74
"in an interview",74
"in high school",74
"is just a",74
"know if you",74
"know what i",74
"like to be",74
"most of them",74
"much of a",74
"need to go",74
"new york times",74
"out of his",74
"so excited to",74
"so much more",74
"so that i",74
"the role of",74
"to focus on",74
"to me i",74
"to see that",74
"version of the",74
"a time when",73
"as i am",73
"for the #ff",73
"going to make",73
"here is a",73
"i'm not a",73
"it has a",73
"less than a",73
"like to see",73
"make sure that",73
"of people who",73
"out how to",73
"so if you",73
"so proud of",73
"that she was",73
"the past two",73
"the same as",73
"the state of",73
"them in the",73
"time for the",73
"to be done",73
"to catch up",73
"to come out",73
"you have the",73
"6 p m",72
"and on the",72
"are on the",72
"first day of",72
"for those of",72
"how to make",72
"i hope to",72
"i love your",72
"i made a",72
"i should have",72
"i think they",72
"in the late",72
"in your life",72
"it's a good",72
"just need to",72
"make it to",72
"she said she",72
"the case of",72
"this is an",72
"this is why",72
"time of the",72
"to give up",72
"to go on",72
"to try and",72
"when i first",72
"when it was",72
"who wants to",72
"all of my",71
"and i just",71
"as good as",71
"do not have",71
"don't know if",71
"family and friends",71
"forward to seeing",71
"i am the",71
"i go to",71
"in the kitchen",71
"live in the",71
"more than one",71
"some sort of",71
"the associated press",71
"the form of",71
"the people of",71
"the quality of",71
"they will be",71
"to the u",71
"to worry about",71
"trying to make",71
"turned out to",71
"while i was",71
"will be held",71
"you can make",71
"an attempt to",70
"an opportunity to",70
"and that was",70
"deal with the",70
"for them to",70
"forward to it",70
"gonna be a",70
"had no idea",70
"i could be",70
"i had been",70
"i hate when",70
"i have ever",70
"if they are",70
"is about to",70
"it seems like",70
"not so much",70
"of the month",70
"of thousands of",70
"of you who",70
"on the new",70
"say that i",70
"tell you that",70
"that would have",70
"the idea that",70
"the life of",70
"the one that",70
"the side of",70
