"word","freq"
"to watch",520
"on their",519
"but not",518
"have you",518
"that will",518
"wants to",518
"said that",517
"with an",517
"and was",516
"and more",514
"him to",514
"than a",513
"is just",512
"along with",509
"and all",509
"has to",508
"said it",508
"talking about",506
"under the",506
"better than",505
"to our",505
"the book",503
"to her",503
"you were",503
"decided to",501
"it up",501
"needs to",501
"think i",501
"who has",498
"for more",495
"i see",494
"as we",493
"fact that",493
"or the",493
"to try",493
"a day",492
"make the",492
"working on",492
"with her",490
"what they",489
"that she",488
"tried to",488
"for it",487
"i still",486
"the team",486
"based on",485
"looks like",485
"as he",484
"st louis",484
"the story",483
"a small",482
"say that",482
"talk about",482
"about to",481
"for some",481
"love it",481
"as they",480
"make sure",480
"so that",480
"could have",479
"get it",479
"in her",478
"a man",476
"is still",475
"can do",474
"down to",474
"had the",474
"the case",474
"there were",471
"a week",470
"so we",470
"was just",470
"what we",470
"will not",470
"even if",469
"in fact",469
"ready for",469
"the big",469
"at this",468
"do i",468
"and have",467
"i wanted",467
"my own",466
"then i",465
"and now",464
"to think",464
"on it",463
"the country",463
"to pay",463
"but they",462
"have no",462
"it a",461
"like this",461
"this one",461
"a while",460
"even though",460
"happy birthday",460
"to it",460
"time and",458
"i'm going",456
"they will",456
"because it",455
"in new",453
"was so",453
"that has",452
"with it",452
"i should",451
"but we",450
"is what",450
"for that",449
"going on",449
"he would",449
"the future",449
"bit of",448
"can you",446
"to meet",446
"i'll be",445
"not sure",445
"and get",444
"and she",443
"as you",443
"i used",443
"on to",443
"to talk",443
"with your",443
"and if",442
"that this",442
"they can",441
"to an",440
"to read",440
"with this",439
"and so",437
"for our",436
"should have",436
"supposed to",436
"between the",435
"for her",435
"i miss",435
"is also",435
"less than",434
"is on",433
"because the",432
"like it",432
"to share",431
"percent of",429
"the middle",429
"the more",429
"to look",429
"my first",428
"we all",428
"can get",427
"off to",427
"on that",427
"wish i",427
"being a",426
"to tell",426
"was going",426
"are in",425
"for us",425
"the show",424
"for their",423
"i found",423
"you like",423
"are so",422
"on twitter",422
"think of",421
"to buy",421
"and i'm",420
"in order",420
"new jersey",420
"to stop",420
"but you",419
"in and",419
"the follow",419
"i never",418
"if he",418
"tell you",418
"when she",418
"all i",417
"and will",417
"have an",416
"to their",416
"who have",416
"due to",415
"i went",415
"us to",415
"you could",415
"people are",414
"the united",414
"rather than",413
"i saw",412
"is now",412
"the night",412
"the word",412
"you see",411
"front of",410
"it on",410
"to write",410
"at home",409
"good morning",409
"i also",409
"sort of",409
"and what",408
"my mom",408
"don't want",407
"seems to",407
"think that",407
"and her",406
"chance to",406
"how many",406
"know i",406
"where i",406
"all my",405
"like i",405
"on our",405
"from my",404
"you in",404
"i'm a",403
"just got",403
"made it",403
"the season",403
"out in",402
"and how",401
"full of",401
"me that",401
"if you're",400
"i mean",399
"it for",399
"listening to",399
"said i",399
"since the",399
"talk to",398
"a way",397
"made a",397
"any of",396
"of time",396
"one day",396
"what do",396
"and their",395
"makes me",395
"much of",395
"a better",394
"think about",393
"because they",392
"his own",392
"said in",392
"and this",391
"don't think",391
"may have",391
"next week",391
"no longer",391
"you all",390
"a huge",389
"the national",389
"time in",389
"a time",388
"every day",388
"the idea",388
"you can't",388
"the old",387
"a chance",386
"all over",386
"all that",386
"we do",386
"you a",386
"amount of",385
"do the",385
"there's a",385
"wait for",384
"but that",383
"day of",383
"not have",383
"the back",383
"are going",382
"all day",380
"can i",380
"take the",380
"the entire",379
"in one",378
"to create",378
"and some",377
"top of",377
"until the",377
"with some",377
"out for",376
"tell me",376
"with that",376
"and for",375
"but it's",375
"the great",375
"united states",375
"with their",375
"do that",374
"in front",374
"listen to",374
"life is",373
"they had",373
"i made",372
"lack of",372
"seem to",372
"continue to",371
"out a",371
"told me",371
"about how",370
"can see",370
"i knew",370
"the final",370
"my heart",369
"side of",369
"that there",369
"the road",369
"interested in",368
"much more",368
"what it",368
"for them",366
"it seems",366
"live in",366
"for those",365
"it's the",365
"to live",364
"what are",364
"with all",364
"it can",363
"be on",361
"find a",361
"only one",361
"to him",361
"to show",361
"to stay",361
"your own",361
"here in",360
"the school",360
"look like",359
"my new",359
"a nice",358
"los angeles",358
"what was",358
"know the",357
"to learn",355
"me in",354
"not just",354
"expected to",353
"in its",353
"it but",353
"looking at",353
"to follow",353
"you just",353
"and has",352
"i'm so",352
"just as",352
"much as",352
"was an",352
"would like",352
"see what",351
"and an",350
"but i'm",350
"day and",350
"has the",350
"and it's",349
"close to",349
"good luck",349
"people to",349
"what he",349
"or not",348
"she had",348
"comes to",347
"him and",347
"order to",347
"the public",347
"while the",347
"at my",346
"do with",346
"the man",346
"am i",345
"and even",345
"it the",345
"on her",345
"that one",345
"to that",345
"out on",344
"the morning",344
"you would",344
"she has",343
"to bring",343
"to move",343
"how i",342
"how the",342
"i always",342
"since i",342
"a whole",341
"it as",341
"next to",341
"is this",340
"a large",339
"sense of",339
"here is",338
"came to",337
"got the",337
"now that",337
"so the",337
"a friend",336
"and when",336
"back and",336
"them and",336
"two years",336
"in all",335
"said she",335
"waiting for",335
"and there",334
"but a",334
